Rang,Interpret,Sprache,Titel,Jahr,text
66,Paveier,Kölsch,Ich han de Musik bestellt,1984,"Hück es Danz en d´r Mai, Meddernach es vorbei.
Un et janze Zelt es ald high, die Stimmung kütt om Höhepunk an.
Ich wollt jrad noch danze un frochten en Änn,
do hür ich vun hingen en ieskahle Stemm: „Dat jeit nit, ich ben dran!""
Ich han de Musik bestellt, doröm bestemme ich och wat se spillt,
du kanns jo jon leeve Jung, wenn dir dat he nit jefällt.
Ich han dat Mädche als eetster jebütz
un doröm es och dat Ding he jeritz,
denn wä de Musik bestellt, dä bestemp wat se spillt.

Drop nohm ich mi Jlas un dach leever Jott,
fing dich met af Jung und räch dich nit op.
Dä letzte, dä noch lach, dat ben ich.
Ich jing zo d´r Musik, bestellte e Leed.
Do hür ich die Stemm vun däm Hein wie hä sät:
„Dat jeit nit, ich ben dran!""

Ich han de Musik bestellt...

Et Feß wor am Eng un die Lück wollten heim,
un ich hatt mi Ännche schon bei m´r em Ärm,
do soh ich dä ärme Hein.
Kom rüvver un meint: „Änn, ich bräng dich noh Hus.""
Drop sat ich zo im: „Hein, jetz es ävver Schluss,
do sühs doch, dat Spillche es us!""

Denn jetz han ich he de Musik bestellt,
doröm bestemme ich och wat se spillt,
do kanns jo jon, leeve Jung, wenn dir dat he nit efällt.
Ich han dat Mädche als eetster jebütz
un doröm es och dat Ding he jeritz,
denn wä de Musik bestellt, dä bestemp wat se spillt.

La la la.......

denn jetz han ich de Musik bestellt,
doröm bestemme ich och wat se spillt,
denn wä de Musik bestellt,
dä bestemp wat se spillt."
67,Höhner,Kölsch,Pizza Wundaba,1987,"Ich esse jän en Pizza
en Pizza mamamia

un dat es keine Trick Pizza mät nit dick.
Se es e Stück Italia
en jrande Sinfonia

se brängk dich op de Bein
du danz von janz allein.

Oh la la
willse du eine Pizza?
Oh la la
Pizza wundaba!
(2x)

Bene
Mozzarella
un Tomata bella
Schampingjongs
Salami
Proschuto un noch mieh.
Su'n' Pizza Capricciosa is lecker unformosa



mer kritt für winnig Jeld
et beste vun d'r Welt.

Oh la la
willse du eine Pizza?
Oh la la
Pizza wundaba!
(2x)

Pizza
Pizza per me!
Tarantella
fricadella

Pizza
Pizza per me!

Si
si alles paletti

Pizza Pizza per me!
Un momento
Pizza Colonia!
Pizza
Pizza mer me!

Jetzt noch e Jlas Chianti
do met et Rötsch avanti
tutti frutti op dr Desch
amici alles fresch!
Für't Hatz ene Espresso un ne Jrappa

övver presto denn dann fängk leeve Mann
et dolce vita an!

Oh la la
willse du eine Pizza?
Oh la la
Pizza wundaba!
(2x)

Pizza
Pizza per me!
Pizza Carabinieri buon appetito!
Pizza
Pizza per me!

La la la la la la la met et Rötsch avanti
tutti frutti op dr Desch
amici alles fresch!
Für't Hatz ene Espresso un ne Jrappa

övver presto denn dann fängk leeve Mann
la la la la la la.

Oh la la
willse du eine Pizza?
Oh la la
Pizza wundaba!

Chef! Hat es geschmeckt
Ja!"
68,Bläck Fööss,Kölsch,Ming eetste Fründin,1976,"Ming eetste Fründin 
dat wor et Meiers Kättche 
un ich fuhr mem Rädche 
Daach für Daach zo im. 
Et Meiers Kättche 
fuhr dann met om Rädche
un dann dät et laache
su wie ne Sunnesching
Un dann dät et laache
su wie ne Sunnesching.

Als kleine Fetz, do wor ich King bei uns in d'r Strooss
un fuhr ich met mingem Rädche met drei Jäng dodurch
joh do wor vielleich jet loss.
Et Meiers Kättche us d'r Rhingjass,
dat hatt mich dann och ens mem Rädche jesinn.
Un zick dem Daach hatt ich beim Kättche
ne janz dicke Stein em Brettche drin.

Ming eetste Fründin
dat wor et Meiers Kättche
un ich fuhr mem Rädche
Daach für Daach zo im.
Et Meiers Kättche
fuhr dann met om Rädche
un dann dät et laache
su wie ne Sunnesching
Un dann dät et laache
su wie ne Sunnesching.

Mit veezehn kom ich in de Liehr als Installateur,
do dät ich janz jot verdeene
un bahl schon hatt ich e Mopped vür de Düür.
Doch nevvenahn d'r Webers Mattes,
dä wor schon Jesell, hatt mieh Jeld als ich
un et Kättche fuhr mem Mattes em Auto
un let mich janz einfach em Stich.

Ming eetste Fründin
dat wor et Meiers Kättche
un ich fuhr mem Rädche
Daach für Daach zo im.
Et Meiers Kättche
fuhr dann met om Rädche
un dann dät et laache
su wie ne Sunnesching
Un dann dät et laache
su wie ne Sunnesching

"
69,Brings,Hochdeutsch,Liebe gewinnt,2017,"Komm mach den Fernseher aus
Und rutsch 'was näher zu mir
Der ganze Wahnsinn bleibt heut'

Vor uns'rer Tür
Auch wenn es hoffnungslos scheint
Und die ganze Welt weint
Du hälst zu mir
Und wir beten dafür

Dass 'n Wunder passiert
Und wir endlich kapier'n
Dass wir alle gleich sind
Und nur die Liebe gewinnt

Wir werden frei sein
Wenn wir uns lieben
Es wird vorbei sein
Mit all den Kriegen
Wir sind Brüder
Wir sind Schwestern
Ganz egal wo wir sind
Glaub mir
Die Liebe gewinnt

Was du mir sagen willst
Komm sag's mir in's Gesicht
All der Hass und die Lügen im Netz
Die interessi'ren mich nicht
Wir zwei, wir sind echt
Wir sind wirklich und hier
Komm, fass mich mal an
Und dann schwöre ich dir

Dass 'n Wunder passiert
Und wir endlich kapier'n
Dass wir alle gleich sind
Und nur die Liebe gewinnt

Wir werden frei sein
Wenn wir uns lieben
Es wird vorbei sein
Mit all den Kriegen
Wir sind Brüder
Wir sind Schwestern
Ganz egal wo wir sind
Glaub mir
Die Liebe gewinnt

Lass sie alle reden
Die Hoffnung macht uns stark
All das Morden und das Sterben
Doch es kommt der Tag
An dem die Kriege aufhör'n
Das macht doch alles keinen Sinn
Weil wir alle Kinder
Der selben Mutter sind

Dass 'n Wunder passiert
Und wir endlich kapier'n
Dass wir alle gleich sind
Und nur die Liebe gewinnt

Wir werden frei sein
Wenn wir uns lieben
Es wird vorbei sein
Mit all den Kriegen
Wir sind Brüder
Wir sind Schwestern
Ganz egal wo wir sind
Glaub mir
Die Liebe gewinnt

Wir werden frei sein
Wenn wir uns lieben
Es wird vorbei sein
Mit all den Kriegen
Wir sind Brüder
Wir sind Schwestern
Ganz egal wo wir sind
Glaub mir
Die Liebe gewinnt

Glaub mir
Die Liebe gewinnt

Glaub mir
Die Liebe gewinnt"
70,Brings,Kölsch,Besoffe (vor Glück),2016,"Mir sin besoffe, mir sin besoffe,
besoffe vör Glück
Weil et dat alles, weil et dat alles

nur in Kölle jit
Mir sin besoffe, mir sin besoffe,
besoffe vör Glück
Weil et dat alles, weil et dat alles
nur in Kölle jit

Jeder Jeck is anders,
dat is nit nur ne Spruch
Wat dä eine nit will,
is wat der andere bruch
Mer kann uns nit verstonn,
wenn mer unser Sprooch nit sprich
Et jit och manche Lück,
die finge su jet widderlich

Drieß op Traditione,
wer mäht he Jesetz
Maach einfach, wat de wills,
un hür nur op di Hätz
Glücklich sin mer nur,
wenn mer frei durch et Lääve jon
Mer maache einfach wigger,
su lang mer noch jrad ston

Mir sin besoffe, mir sin besoffe,
besoffe vör Glück
Weil et dat alles, weil et dat alles
nur in Kölle jit
Mir sin besoffe, mir sin besoffe,
besoffe vör Glück
Weil et dat alles, weil et dat alles
nur in Kölle jit

Nananana, Nananananana
Nananana, Nananananana
Nananana, Nananananana
Nanananananana

Wenn du meins, dat es chaotisch,
dann bis de nit vun he
Die janze Zick nur Musik,
dir dun die Uhre wieh
Daachelang am Singe
Jeschlofe weed zum Schluss
Un manch einer dä kütt,
en janze Woch allt nit noh Huss

Mir sin besoffe, mir sin besoffe,
besoffe vör Glück
Weil et dat alles, weil et dat alles
nur in Kölle jit
Mir sin besoffe, mir sin besoffe,
besoffe vör Glück
Weil et dat alles, weil et dat alles
nur in Kölle jit

Nanananana, Nananananana
Nanananana, Nananananana
Nanananana, Nananananana
Nanananananana

Et is doch nur een Woch,
dann is et all vorbei
Der Alltach hätt uns widder
mit all der Plackerei

Mir sin besoffe, mir sin besoffe,
besoffe vör Glück
Weil et dat alles, weil et dat alles
nur in Kölle jit
Mir sin besoffe, mir sin besoffe,
besoffe vör Glück
Weil et dat alles, weil et dat alles
nur in Kölle jit

Mir sin besoffe, mir sin besoffe,
besoffe vör Glück
Weil et dat alles, weil et dat alles
nur in Kölle jit
Mir sin besoffe, mir sin besoffe,
besoffe vör Glück
Weil et dat alles, weil et dat alles
nur in Kölle jit

Weil et dat alles, weil et dat alles
nur in Kölle jit"
71,Karl Berbuer,Kölsch,Heidewitzka Herr Kapitän,1936,"Eimol em Johr dann weed en Scheffstour gemaht
denn su en Faht, die hät keinen Baat
Eimol em Johr well mer der Drachenfels sin

wo käme mer sons hin?
Liebchen a-de, mer stechen he
mem Möllemer Böötche endlich en See
un wenn et ovends spät op Heim ahn dann geiht
dann rofe mer vür luter Freud:
Heidewitzka, Herr Kapitän
Mem Möllemer Böötche fahre mer su gähn
m'r kann su schön em Dunkle schunkele
wenn üvver uns de Sterne funkele
Heidewitzka, Herr Kapitän
Mem Möllemer Böötche fahre mer su gähn
Volldampf voraus! Et geiht d'r Rhing jetzt entlang
met Sang un Klang, de Fesch wähde bang
met hundert Knöddele dat litt klor ob d'r Hand
wink uns et blaue Band
Süch ens d'r Schmitz, met singern Fitz
die sin ald jetz su voll wie an Spritz
hä fällt dem Zigarettenboy üm d'r Hals
brüllt met'ner Stemm su voller Schmalz
Heidewitzka, Herr Kapitän
Mem Möllemer Böötche fahre mer su gähn
m'r kann su schön em Dunkle schunkele
wenn üvver uns de Sterne funkele
Heidewitzka, Herr Kapitän
Mem Möllemer Böötche fahre mer su gähn
Heidewitzka, Herr Kapitän
Mem Möllemer Böötche fahre mer su gähn
m'r kann su schön em Dunkle schunkele
wenn üvver uns de Sterne funkele
Heidewitzka, Herr Kapitän
Mem Möllemer Böötche fahre mer su gähn"
72,Paveier,Kölsch,Heimat es,2011,"Op d’r Welt, noch janz neu,
klingen aan ding Uhr
Kölsche Tön, un die Tön,
jo die fings de schön
Un dozo jesellt sich dann
Trumm un Blosmusik
Un ding Mam dröck dich janz fess
und dann singk se met

:
Heimat es jo nit bloß e Woot nur
Heimat es, wo du nit abseits stehs
Heimat es die Sprooch
un sin die kölsche Leeder
Heimat es do, wo de glöcklich bes.

Un die Zick, die jeiht flöck,
Kita un de Schull
Eetste Liebe, flöck jerannt
met ihr nom Standesamp
Jebootsdaach, Kirmes, Fasteleer,
Planer es nie leer
Denn met jode Fründe fällt et
Fiere jo nit schwer

Heimat es jo nit bloß ...

Aan d’r Thek un em Zoch,
do kenns dich us
Us d’r Kneip, met nem Kölsch
do kritt m’r dich schlääch rus
Wenn et eimol en d’r Woch
doch Rievkooche jitt
Su wie fröher bei d’r Mam,
dann weed dä Ovend lang

Heimat es jo nit bloß ...

Heimat es do, wo du dich uskenns
Heimat es, wo du ding Stroße jeihs
Di janz Lääve vun d’r Wieje bes zor Bahre
Heimat es, wo du verstande wees
Heimat es do, wo de jlöcklich bes,
Heimat es do, wo de jlöcklich bes. "
73,Ernst Neger,Hochdeutsch,Humba Tätärä,1966,"Man hört so oft die Blasmusik ist heut nicht mehr modern
Und trotzdem hör ich sie halt immer wieder gern
Denn überall wo Blechmusik erklingt ihr lieben Leut
Ja da herscht Jubel ‚Trubel, Heiterkeit.

Ja da gehts Humba Humba Humba Tätärä Tätärä Tätärä
Ja da gehts Humba Humba Humba Tätärä Tätärä Tätärä
Da ruft der ganze Saal da selbe noch einmal.



Ja da gehts Humba Humba Humba Tätärä Tätärä Tätärä
Ja da gehts Humba Humba Humba Tätärä Tätärä Tätärä
Da ruft der ganze Saal da selbe noch einmal.

Und schießt bei uns der Sportverein am Sonntag mal ein Tor
Steht alle auf dem Kopf, denn das kommt selten vor
Dann geht es mit Hipp- Hipp- Hura ins Dorf vom Fußballplatz
Denn im Vereinslokal gibt's dann Rabatz :

Ja da gehts Humba Humba Humba Tätärä Tätärä Tätärä
Ja da gehts Humba Humba Humba Tätärä Tätärä Tätärä
Da ruft der ganze Saal da selbe noch einmal.

Ja da gehts Humba Humba Humba Tätärä Tätärä Tätärä
Ja da gehts Humba Humba Humba Tätärä Tätärä Tätärä
Da ruft der ganze Saal da selbe noch einmal."
74,Höhner,Kölsch,Echte Fründe,1983,"Echte Fründe ston zesamme,
ston zesamme su wie eine Jott un Pott.
Echte Fründe ston zesamme,
es och dih Jlück op Jöck un läuf dir fott.
Fründe, Fründe, Fründe en dr Nut
jon 'er hundert, hundert op e Lut.
Echte Fründe ston zesamme,
su wie eine Jott un Pott.

Do häs Jlück, Erfolg un küss zo Jeld.
Dich kennt he op einmol Jott un alle Welt.
Minsche, die dich vürher nit jekannt
kumme us de Löcher anjerannt,
sin janz plötzlich all met dir verwandt.



Echte Fründe ston zesamme,
ston zesamme su wie eine Jott un Pott.
Echte Fründe ston zesamme,
es och dih Jlück op Jöck un läuf dir fott.
Fründe, Fründe, Fründe en dr Nut
jon 'er hundert, hundert op e Lut.
Echte Fründe ston zesamme,
su wie eine Jott un Pott.

Scholderkloppe, Bravo nimm kei Engk.
Mer fingk dich wirklich toll un
drät dich op de Häng.
Jlücklich, wä sich do nit blende liet
un nit zo vell op schöne Auge jitt,
en jedem Fründe 'ne richtige Fründe och süht

Echte Fründe ston zesamme,
ston zesamme su wie eine Jott un Pott.
Echte Fründe ston zesamme,
es och dih Jlück op Jöck un läuf dir fott.
Fründe, Fründe, Fründe en dr Nut
jon 'er hundert, hundert op e Lut.
Echte Fründe ston zesamme,
su wie eine Jott un Pott.

Do häs Pech; et jeiht dr Birsch erav.
Verjesse es all dat, wat do bisher jeschaff.
Minsche, die dich vürher jot jekannt,
jevven dir noch nit ens mih de Hand.
Jetz sühs do, wä met Rääch sich Fründ jenannt.

Echte Fründe ston zesamme,
ston zesamme su wie eine Jott un Pott.
Echte Fründe ston zesamme,
es och dih Jlück op Jöck un läuf dir fott.
Fründe, Fründe, Fründe en dr Nut
jon 'er hundert, hundert op e Lut.
Echte Fründe ston zesamme,
su wie eine Jott un Pott."
75,Höhner,Kölsch,Hey Kölle Do bess e Jeföhl,2004,"Ich han die Städte der Welt jesin,
ich wor in Rio, in New York un Berlin!
Se sin op ihre Aat jot un schön,
doch wenn ich ierhlich ben, do trick mich nix hin!
Ich bruch minge Dom, dä Rhing – minge Strom –
un die Hüsjer bunt om Aldermaat!
Ich bruch dä F. C., un die Minsche he,
un die jode, echte kölsche Aat!
Hey Kölle – do ming Stadt am Rhing,
he wo ich jroß jewode ben.
Do bes en Stadt met Hätz un Siel.
Hey Kölle, do bes e Jeföhl!
Do häss em Kreech fas‘ mem Levve bezahlt,
doch se han dich widder opjestallt.
Die Zick, die määt och för dir nit halt,
hück häste Ecke, die sin jrau un kalt!
Do weed römjebaut un vell versaut,
un trotzdem eines, dat es jeweß:
Dat dä Ärjer vun hück – un dat jeiht flöck –
die jode ahle Zick vun murje es!
Hey Kölle – do ming Stadt am Rhing,
he wo ich jroß jewode ben.
Do bes en Stadt met Hätz un Siel.
Hey Kölle, do bes e Jeföhl!
Ich blieve he, wat och passeet!
Wo ich die Lück verstonn,
wo ich verstande weed!
Hey, hey, hey!
Hey Kölle – do ming Stadt am Rhing,
he wo ich jroß jewode ben.
Do bes en Stadt met Hätz un Siel.
Hey Kölle, do bes e Jeföhl!"
76,Räuber,Hochdeutsch,Die Rose,2000,"Wer hat mir die Rose auf den Hintern tätowiert, wie ist das geschehen, was ist da passiert? War ich in Hypnose, hat en Ufo mich entführt, wer hat mir die Rose auf den Hintern tätowiert? Mann, war das ne Sause, ich bin noch ganz KO, ich bin so früh aufgewacht, denn mich zwickt was am Po.
Ich weiß nichts mehr von gestern, nur so viel ist gewiss, ich ging noch mit zur Rosi, dann hat mein Film nen Riss, ich ging noch mit zur Rosi, dann hat mein Film nen Riss.
Wer hat mir die Rose auf den Hintern tätowiert, wie ist das geschehen, was ist da passiert? War ich in Hypnose, hat en Ufo mich entführt, wer hat mir die Rose auf den Hintern tätowiert? Ich traf sie in der Kneipe, nun fällt's mir wieder ein, sie war im Baggern spitze und ich war nicht aus Stein.
Sie sprach: Ich geb dir alles, was du schon lang vermisst, und außerdem noch etwas, was du nie mehr vergisst, und außerdem noch etwas, was du nie mehr vergisst.
Da hat sie mir die Rose auf den Hintern tätowiert, so ist das geschehen, ja so ist das passiert.
Ich war blau wie ein Veilchen, da hat Rosi mich verführt, und aus Dank mir die Rose auf den Hintern tätowiert.
Sie hat mir die Rose auf den Hintern tätowiert, so ist das geschehen, ja so ist das passiert.
Ich war blau wie ein Veilchen, da hat Rosi mich verführt, und aus Dank mir die Rose auf den Hintern tätowiert, und aus Dank mir die Rose auf den Hintern tätowiert."
77,Höhner,Kölsch,Wo mir sin is Kölle,2001,"Ov en Panama oder en Rom
Selvs op de Fidschis hängk e Foto vom Dom
Üvverall sin mer Kölsche op jöck
Han uns Levvensart met em Jepäck
Wat dä Urlaub em Süde betriff'
Do hammer en janze Insel em Jriff
Üvverall do, erkennt mr uns schnell
In jedem Kölsche steck ne Tünnes un Schäl!
Wo mer sin es Kölle, ejal wo mr sin!
Wo mer sin es Kölle, dat steck en uns drin!
Mer han unsre eijene Kopp
Un dä nemme mer övverall met hin
Wo mer sin es Kölle!
Doch mer künne jo nit övverall sin!
Rusemondaach nennt die Welt uns beklopp
Mer hätte nur dä Fastelovend em Kopp
Üvverall wed jelaach övver uns
Üvver sich selvs zo laache - dat es die Kunst!

Paar Missionare von uns en Berlin
die führe do jrad et klüngele en
Üvverall wed op Kölsch ömjestellt
Mer sin ""per DU"" mit Jott un dr Welt!
Wo mer sin es Kölle, ejal wo mr sin!
Wo mer sin es Kölle, dat steck en uns drin!
Mer han unsre eijene Kopp
Un dä nemme mer övverall met hin
Wo mer sin es Kölle!
Doch mer künne jo nit övverall sin!
Levve un levve losse,
dat Motto dat halde mr huh!
Un wä su föhlt, denk' un lääv 'höt dozo!
Wo mer sin es Kölle, ejal wo mr sin!
Wo mer sin es Kölle, dat steck en uns drin!
Mer han unsre eijene Kopp
Un dä nemme mer övverall met hin
Wo mer sin es Kölle!

Wo mer sin es Kölle!
Doch mer künne jo nit övverall sin!"
78,Brings,Hochdeutsch,Mama wir danken dir,2008,"Kleine Jungs machen manchmal in die Hosen
Und wenn Sie größer sind dann rauchen sie aus Dosen

Klauen gerne mal im Supermarkt
Mama macht sich immer für uns stark

Der erste Job und ich war in der Lehre
ohne Mama wüsste ich nicht mehr wo ich wäre

Der erste Schnaps und ich war morgens krank
Mama nahm mich immer bei der Hand

Mama wir danken Dir
Bumm Bumm machts Herz bei mir
Du warst immer, immer für uns da
Mama du bist wunderbar

Mama wir danken Dir
Bumm Bumm machts Herz bei mir
Du warst immer, immer für uns da
Mama du bist wunderbar



Der erste Schuß Zuhause auf meinem Zimmer
was soll ich machen, ich hatte keinen Schimmer
Da stand de Mama plötzlich in der Tür
“Ab nach Hause, es it viertel vier”

Die erste Wohnung und ich muss selber kochen
Han nich jeschmeckt und noch schlecht jeroche
Doch bei Mama gab es Freitags immer Fisch
Und die Unterhose war auch wieder frisch

Mama wir danken Dir
Bumm Bumm machts Herz bei mir
Du warst immer, immer für uns da
Mama du bist wunderbar

Mama wir danken Dir
Bumm Bumm machts Herz bei mir
Du warst immer, immer für uns da
Mama du bist wunderbar

Oh Mama wir danken Dir
Bumm Bumm machts Herz bei mir
Mama du bist so wunderbar

Mama du bist immer für uns da
Mama du bist immer für uns da
Mama du bist wunderbar

Mama wir danken Dir
Bumm Bumm machts Herz bei mir
Du warst immer, immer für uns da
Mama du bist wunderbar

Mama wir danken Dir
Bumm Bumm machts Herz bei mir
Du warst immer, immer für uns da
Mama du bist wunderbar
Mama du bist wunderbar
Mama du bist wunderbar

Oh Mama wir danken Dir
Bumm Bumm machts Herz bei mir
Mama du bist so wunderbar
Mama du warst immer für uns da

Mama wir danken Dir
Bumm Bumm machts Herz bei mir
Du warst immer, immer für uns da
Mama du bist wunderbar

Mama wir danken Dir
Bumm Bumm machts Herz bei mir
Du warst immer, immer für uns da
Mama du bist wunderbar
Mama du bist wunderbar
Mama du bist wunderbar"
79,Margit Sponheimer,Hochdeutsch,Am Rosenmontag bin ich geboren,1970,"Am Rosenmontag bin ich geboren, 
am Rosenmontag in Mainz am Rhein. 
Bis Aschermittwoch bin ich verloren, 
denn Rosenmontagskinder müssen närrisch sein. 

Meim Vater sein Wahlspruch war Spaß an der Freud´ 
und gestern war gestern und heute ist heut. 
Und dann hat er um meine Mutter gefreit, 
was daraus geworn ist, steht vor euch, ihr Leut. 

Am Rosenmontag bin ich geboren, 
am Rosenmontag in Mainz am Rhein. 
Bis Aschermittwoch bin ich verloren, 
denn Rosenmontagskinder müssen närrisch sein. 

Und sollte ein Mann eines Tags um mich frei'n
dann darf es vor allem kein Trauerkloß sein.
Wir brauchen kein Reichtum, wir brauchen kein Geld,
und feiern wir Fassnacht gehört uns die Welt!"
80,Domstürmer,Kölsch,Naturbeklopp,2013,"Mer sin su schön naturbeklopp,
danke, leeve Godd!
Mir han einen an der Waffel,
ävver zwei em Schrank
un der drette fiert hügg krank.
Mer sin su schön naturbeklopp,
danke, leeve Godd!
Wä hät schon Loss normal zo sin,
e bessche jeck sin es nit schlemm

Ich sag et, wie et es,
do änders do nix dran,
dä eine schwaad nor Dress,
jo weil hä et halt god kann.
Ich sag ens su: ""a god,
mer han et halt nit leich,
och wann et hee un do
för Durchzefusche reich!

Mer sin su schön ...



Dat kann doch gar nit sin,
dat hätt ich doch gewoss,
jetz kumm mir nit esu,
un verzäll mir keine Stuss.
Ach su wor dat gewess,
jo, dann han ich nix gesaht,
Jung, drinks de eine met?
dat es de kölsche Aat ...

Mer sin su schön ...

Jetz däu doch ens op Färv
un mol nit alles grau!
Maach Faxe vör dem Speegel
un nemm et nit genau!
Denn do bes dinge Chef
un do bestemms, wat geiht.
Och wann dich av un zo
de Welt nit mih versteiht.

Mer sin su schön ...

Und wir werden DEUTSCHER MEISTER (MEISTER)
Mer sin su schön ."
81,Höhner,Kölsch,Sansibar,2001,"Ahu, Ahu, Ahu, Afrika, Ahu, Ahu, Ahu, (Kilimandscharo) Afrika,
Ahu, Ahu, Ahu, (Heia Safari) Afrika, Ahu, Ahu, Ahu, Afrika,
Hömma Mamma samma somma ma na Afrika?
Hömma Mamma samma lamma domma da hin fah´n!
Hömma Mamma samma somma ma na Afrika?
Oder sommer in de Sansibar?
Sansibar – Ohoho – Sansi Bar – Ohoho
Vater Rhein und Mama Afrika – Ohoho
Sansibar – Ohoho – Sansi Bar – Ohoho
Allemann in de Sansibar
Ahu, Ahu, Ahu, Ahu, Ahu, Ahu, Ahu, Ahu
Allemann in de Sansibar – in de Sansibar – in de Sansibar
Allemann in de Sansibar – Alle in de Sansibar!
Hömma Mamma samma hamma noch wat Bargeld da?
Hömma Mamma samma hamma noch wat da in bar?
Hömma Mamma samma hamma noch wat Bargeld da?
Jo? Dann jommer in de Sansi Bar
Sansibar – Ohoho – Sansibar – Ohoho
Allemann in de Sansibar – in de Sansibar – in de Sansibar
Vater Rhein und Mama Afrika – Ohoho
Sansibar – Ohoho – Sansibar – Ohoho
Allemann in de Sansibar – Allemann in de Sansibar!
Allemann in de Sansibar
Samma jommer för jot oder jommer léger
Samma jommer jetz´ glich oder jommer noher
Samma jommer övverhoup oder blieve mr he
Samma somma ma? Saach jetz´ blos nit nä!
Sansibar – Ohoho – Sansibar – Ohoho
Allemann in de Sansi Bar – in de Sansibar – in de Sansibar
Vater Rhein und Mama Afrika – Ohoho
Sansibar – Ohoho – Sansibar – Ohoho
Allemann in de Sansi Bar – Alle in de Sansibar!
Allemann in de Sansi Bar"
82,Bläck Fööss,Kölsch,Mir Kölsche,1994,"Mir Kölsche, mir Kölsche
mir Kölsche han met jarnix jet am Hoot
Dröm jeit et uns Kölsche
och immer immer immer widder jot.
Mir Kölsche, mir Kölsche
mir Kölsche han de schönste Stadt am Rhing,
un doröm han mir Kölsche
em Hätze immer immer widder Sonnesching.

Mir Kölsche krijjen flöck nen decken Hals
mir Kölsche sagen leever wie, wie als
mir Kölsche fressen jeden Dach en Flönz
mir han d’r FC Kölle, wat dann söns.
Mir Kölsche ston bes morjens an d’r Thek
mir Kölsche maachen Deckele beim Weet
mir Kölsche looßen keiner dran
mir Kölsche mir han Spetzebötzjer an.

Mir Kölsche ...

Mir Kölsche fahren met d’r KVB
manchmol och mem Müllemer Bötche
mir Kölsche mir sin Mädche un och Jonge
mir Kölsche sin dem Herrjott jot jelunge
mir Kölsche han d’r längste Desch d’r Welt
Fastelovend weed de decke Trumm jespillt
mir loßen d’r Dom am Bahnhof ston
un däten ze Fooß noh Kölle jon.

Mir Kölsche ...

Kayjass, Köbes, Kölsch, Kamelle,
Kallendresser, halven Hahn,
de Haupsach es, et Hätz es jot,
nur dodrop kütt et an.

Intro: Dreimol Kölle Alaaf -"
83,Räuber,Kölsch,Denn wenn et Trömmelsche jeiht,1993,"Jedes Johr em Winter, wenn et widder schneit,
kütt dr Fastelovend un mir sin all bereit.
All de kölsche Jecke süht mr op dr Stroß,
selvs dr kleenste Panz de weeß
jetzt jeht es widder loss.

 (x2):
Denn wenn et Trömmelche jeht,
dann stonn mer all parat
un mer trecke durch die Stadt
un jeder hätt jesaat
Kölle Alaaf, Alaaf - Kölle Alaaf



Jo am 11.11. jeht dat Spillche loss,
denn dann weed dr Aap jemaht,
ejal wat et och koss.
De Oma jeht nom Pfandhaus,
versetzt et letzte Stöck
denn dr Fastelovend es für sie et jrößte Jlöck.

 (x2):
Denn wenn et Trömmelche jeht,
dann stonn mer all parat
un mer trecke durch die Stadt
un jeder hätt jesaat
Kölle Alaaf, Alaaf - Kölle Alaaf"
84,Bläck Fööss,Kölsch,Wenn mir Kölsche singe,2003,"Wenn mir Kölsche singe,
simmer janz dobei.
Wenn mir Kölsche singe,
stommer all en d'r Reih.
Weil et öm et Hätz dir dann leichter weed.
Jo, wenn mir Kölsche singe,
singk selvs d'r Herrjott met.

Leeder zom Laache, zom Kriesche och,
hammer en Kölle satt un jenoch.
Wat uns bewäch un wat uns bedröck,
dat muss einfach rus, söns weed m'r verröck.
Wenn mir Kölsche singe ...



Wenn de e Trönche verdröcks un en Jänsehuck kriß,
dann halt dich am beste aan nem Leckerche feß.
Wenn et Spreche d'r schwerfällt, janz ejal, wo't draan litt,
dann hok dich doch en un sing einfach met.

Wenn mir Kölsche singe ...

Häs de ens met uns jesunge
met all dä Mädche un dä Junge.
Wees de immer widderkumme,
wä bliev schon jän allein.

Wenn mir Kölsche singe…

singk selvs d'r Herrjott met
un met däm Düvel öm de Wett,
singk selvs d'r Herrjott met
un met däm Düvel öm de Wett
singk selvs d'r Herrjott met
jo, met däm Düvel öm de Wett."
85,Räuber,Kölsch,Am Eigelstein es Musik,1995,"Am Samsdach wor widder ens Danz aanjesaat und jeder, de kunnt, wor dobej. Die Müllers, die Meiers, die Lehmanns, dä Schmitz, us Nippes sujar Onkel Hein.
De Musik, jo die wor ald öm zehn Uhr blau und op ejmol saat dann d'r Weet:
Och, Rita, kumm loss mer ens danze jonn, ens luure, öv et immer noch jejt.
Am Eigelstein es Musik, am Eigelstein es Danz.
Jo do pack dat decke Rita däm Fridolin
am Eigelstein es Musik, am Eigelstein es Danz.
Jo do pack dat decke Rita däm Fridolin

am Trallalalalala.
Jetz kom och dä Heinrich su richtig en Form, vorbej wor all sing Ping. Un hä saat - man müsste noch mal - jo, do feel em de Brill en d'r Wing.
Et Höhneraug's Cilli dat danzde mem Jupp su wie fröher met Schwung durch d'r Saal. Un Rudi, der Geiger, dä stemmde jrad aan, dä Tango Kriminal.
Am Eigelstein es Musik ...
Doch öm vier en d'r Fröh kom et Abschiedsleed, selvs d'r Weet jo dä kunnt net mih stonn.
Immer dann, wenn et jrade am schönsten es, saat d'r Hein, jo, dann sull mer och jonn.
Am Egielstein es Musik ..."
